locus_id	gene	chr	tss	locus_pos	distance_to_lead	within_1mb	abc_score	eqtl_score	distance_score
1p13_SORT1_LDL	AHCYL1	1	109984765	109274968	709797	True	1.055124	8.204635883364132	0.12348773828502699
1p13_SORT1_LDL	AKNAD1	1	108963484	109274968	311484	True	0.264005	13.624815745878903	0.2430228149818705
1p13_SORT1_LDL	ALX3	1	110070672	109274968	795704	True	0.584097	9.182283281721904	0.11164402525834428
1p13_SORT1_LDL	AMIGO1	1	109509738	109274968	234770	True	0.896218	157.66288831334327	0.29871254891417987
1p13_SORT1_LDL	AMPD2	1	109616104	109274968	341136	True	1.504646	7.270605159992678	0.22668746146313154
1p13_SORT1_LDL	ATXN7L2	1	109483479	109274968	208511	True	1.001406	49.40966316728469	0.3241375510111471
1p13_SORT1_LDL	C1orf194	1	109113857	109274968	161111	True	0.494646	79.25613839547914	0.3829788863739942
1p13_SORT1_LDL	CELSR2	1	109249539	109274968	25429	True	1.423372	75.65142257125738	0.7972637906704191
1p13_SORT1_LDL	CLCC1	1	108963504	109274968	311464	True	0.818357	25.49011363278209	0.24303462757373673
1p13_SORT1_LDL	CSF1	1	109910242	109274968	635274	True	0.647269	18.981108187672103	0.13600372106180825
1p13_SORT1_LDL	CYB561D1	1	109494052	109274968	219084	True	0.463564	8.630637546547753	0.3133970991964498
1p13_SORT1_LDL	ELAPOR1	1	109113679	109274968	161289	True	0.0	96.6346599250524	0.38271798659721606
1p13_SORT1_LDL	EPS8L3	1	109764027	109274968	489059	True	0.44459	46.146686984778135	0.16976228187668807
1p13_SORT1_LDL	FAM102B	1	108560089	109274968	714879	True	0.933951	17.720068545343125	0.1227176059267695
1p13_SORT1_LDL	FNDC7	1	108712908	109274968	562060	True	0.425744	8.131874792069924	0.15104371205026737
1p13_SORT1_LDL	GNAI3	1	109548615	109274968	273647	True	0.845372	5.760017701201074	0.26763228394714794
1p13_SORT1_LDL	GNAT2	1	109619929	109274968	344961	True	0.81883	0.0	0.22473879733279997
